date_time,Unnamed: 0,ask,bid,ask_volume,bid_volume
2021-01-03 22:25:53.998,330,1.22366,1.2235,0.75,1.74
2021-01-03 22:25:58.885,331,1.22366,1.22356,0.75,0.75
2021-01-03 22:26:00.003,332,1.22366,1.22355,0.75,0.19
2021-01-03 22:26:07.287,333,1.22366,1.22353,0.75,1.12
2021-01-03 22:26:32.500,334,1.22366,1.22355,0.75,0.75
2021-01-03 22:26:32.704,335,1.22365,1.22355,0.75,7.5
2021-01-03 22:26:32.805,336,1.22366,1.22356,0.75,0.75
2021-01-03 22:26:32.856,337,1.22366,1.22354,0.75,7.5
2021-01-03 22:26:33.059,338,1.22367,1.22354,0.75,1.54
2021-01-03 22:26:33.160,339,1.22367,1.22355,0.75,0.75
2021-01-03 22:26:36.012,340,1.22367,1.22355,0.75,0.8
2021-01-03 22:27:07.267,341,1.22367,1.22354,0.75,0.94
2021-01-03 22:27:17.427,342,1.22365,1.22349,0.75,0.19
2021-01-03 22:27:18.478,343,1.22365,1.22352,0.75,5.98
2021-01-03 22:27:18.580,344,1.22365,1.22354,0.75,1.12
2021-01-03 22:27:18.681,345,1.22365,1.22355,0.75,0.75
2021-01-03 22:27:19.089,346,1.22365,1.22353,0.75,0.19
2021-01-03 22:27:20.469,347,1.22365,1.22354,0.75,5.98
2021-01-03 22:27:20.570,348,1.22365,1.22353,0.75,0.19
2021-01-03 22:27:21.857,349,1.22367,1.22356,0.75,0.79
2021-01-03 22:27:22.225,350,1.22367,1.22354,0.75,0.79
2021-01-03 22:27:23.839,351,1.22367,1.22357,0.75,5.98
2021-01-03 22:27:29.451,352,1.22367,1.22354,0.75,0.79
2021-01-03 22:27:31.297,353,1.22367,1.22356,0.75,5.98
2021-01-03 22:27:34.071,354,1.22367,1.22354,0.75,0.79
2021-01-03 22:27:41.334,355,1.22367,1.22357,0.75,5.98
2021-01-03 22:27:42.984,356,1.22366,1.22355,0.75,0.79
2021-01-03 22:27:51.380,357,1.22367,1.22355,0.75,5.98
2021-01-03 22:27:53.478,358,1.22367,1.22354,0.75,0.79
2021-01-03 22:27:55.340,359,1.22367,1.22356,0.75,5.98
2021-01-03 22:27:58.514,360,1.22367,1.22354,0.75,0.79
2021-01-03 22:28:01.319,361,1.22367,1.22356,0.75,5.98
2021-01-03 22:28:01.426,362,1.22367,1.22355,0.75,5.98
2021-01-03 22:28:03.993,363,1.22367,1.22354,0.75,0.79
2021-01-03 22:28:05.578,364,1.22366,1.22357,0.75,5.98
2021-01-03 22:28:07.644,365,1.22367,1.22351,0.75,0.94
