Time (UTC),Open,High,Low,Close,Volume 
2021.05.02 21:00:00,1.20309,1.2076,1.2013,1.20627,81555.554
2021.05.03 21:00:00,1.20627,1.20649,1.19989,1.20116,107621.535
2021.05.04 21:00:00,1.20106,1.20265,1.19859,1.20036,84306.595
2021.05.05 21:00:00,1.20036,1.20716,1.19929,1.20645,94023.419
2021.05.06 21:00:00,1.20647,1.21713,1.20527,1.21615,130680.092
2021.05.09 21:00:00,1.21601,1.21782,1.21276,1.21282,102255.845
2021.05.10 21:00:00,1.21281,1.21815,1.2123,1.21467,104144.935
2021.05.11 21:00:00,1.21467,1.2152,1.20655,1.20705,164116.545
2021.05.12 21:00:00,1.20724,1.2106,1.20514,1.20791,124405.885
2021.05.13 21:00:00,1.20787,1.21477,1.20708,1.2142,100391.494
2021.05.16 21:00:00,1.2145,1.21687,1.21259,1.21513,81143.86
2021.05.17 21:00:00,1.21514,1.22339,1.21489,1.22219,95882.065
2021.05.18 21:00:00,1.22219,1.22451,1.21598,1.21744,121158.37
2021.05.19 21:00:00,1.21744,1.2229,1.21689,1.22268,91675.644
2021.05.20 21:00:00,1.2227,1.22396,1.21607,1.21778,97878.35
2021.05.23 21:00:00,1.21778,1.22298,1.21722,1.22151,81771.064
2021.05.24 21:00:00,1.22146,1.22664,1.22113,1.22497,96261.135
2021.05.25 21:00:00,1.22481,1.22629,1.2182,1.21922,89787.15
2021.05.26 21:00:00,1.21906,1.22149,1.21751,1.2193,88415.38
2021.05.27 21:00:00,1.21932,1.22048,1.21325,1.21905,98112.82
2021.05.30 21:00:00,1.2199,1.22312,1.21832,1.22243,58683.275
2021.05.31 21:00:00,1.22243,1.22542,1.22116,1.22126,81562.2092
2021.06.01 21:00:00,1.22125,1.22265,1.2164,1.221,77832.365
2021.06.02 21:00:00,1.22097,1.22141,1.21181,1.21265,97226.545
2021.06.03 21:00:00,1.21261,1.21856,1.21039,1.21644,94617.035
2021.06.06 21:00:00,1.21601,1.22017,1.21448,1.21893,56558.24
2021.06.07 21:00:00,1.21892,1.21941,1.21642,1.21726,77182.252
2021.06.08 21:00:00,1.21725,1.22179,1.21711,1.21775,53462.3437
2021.06.09 21:00:00,1.21774,1.21945,1.21433,1.21751,113452.9844
2021.06.10 21:00:00,1.21751,1.21929,1.20925,1.21072,79121.18
2021.06.13 21:00:00,1.21045,1.21305,1.20942,1.21195,56891.2601
2021.06.14 21:00:00,1.21191,1.21473,1.21013,1.21261,70505.845
2021.06.15 21:00:00,1.21257,1.21347,1.19939,1.1994,118140.03
2021.06.16 21:00:00,1.1994,1.20062,1.18916,1.19059,137926.65
2021.06.17 21:00:00,1.19057,1.19249,1.18472,1.18592,141902.48
2021.06.20 21:00:00,1.18542,1.19213,1.18476,1.1917,114807.48
2021.06.21 21:00:00,1.19167,1.19526,1.18808,1.19407,91056.895
2021.06.22 21:00:00,1.19363,1.197,1.19113,1.19255,90192.85
2021.06.23 21:00:00,1.19255,1.19562,1.19176,1.19316,80934.145
2021.06.24 21:00:00,1.19312,1.19751,1.19261,1.19347,76449.3
2021.06.27 21:00:00,1.19296,1.19444,1.19022,1.1923,81234.64
2021.06.28 21:00:00,1.19209,1.19295,1.18775,1.18953,88112.185
2021.06.29 21:00:00,1.18955,1.1909,1.1845,1.18558,99521.565
